Year,Month,Product Name,Supplier,Stock Level,Order Quantity,Demand Level
2024,November,Optical,Netgear,426,303,Low
2023,April,Optical,Fibertech Inc,308,394,Very High
2024,September,Splitter,Cisco,314,327,High
2023,June,Multiplexer,Cisco,217,496,Very High
2024,July,Router,Netgear,137,323,Very High
2024,July,Networking,Broadcam,497,249,Low
2023,July,Multiplexer,Fibertech Inc,480,321,Low
2024,November,Card,Netgear,227,283,High
2024,October,Multiplexer,Netgear,372,378,High
2024,September,Multiplexer,Netgear,325,280,Medium
2024,January,Modem,Synergy,366,202,Low
2023,June,Multiplexer,Cardcom,404,372,Medium
2023,September,Splitter,Fibertech Inc,413,489,High
2024,December,Multiplexer,Synergy,427,171,Very Low
2024,October,Router,Cisco,425,297,Low
2023,October,Modem,Optifibre Co,288,358,High
2023,September,Optical,Optifibre Co,197,103,Low
2023,September,Optical,Bell,327,411,Very High
2023,August,Modem,Bell,303,418,Very High
2024,December,Modem,Fibertech Inc,494,165,Very Low
2024,July,Router,HP,305,383,Very High
2023,December,Switch,HP,108,285,Very High
2024,December,Combiner,HP,266,159,Low
2023,September,Switch,Broadcam,327,109,Very Low
2023,April,Splitter,Optifibre Co,375,342,Medium
2024,November,Modem,HP,157,150,Medium
2023,January,Multiplexer,Broadcam,180,323,Very High
2024,September,Card,Optifibre Co,353,208,Low
2024,February,Optical,Netgear,226,346,Very High
2023,September,Multiplexer,Netgear,341,240,Low
2023,August,Switch,Cardcom,160,469,Very High
2023,October,Splitter,Cardcom,224,312,Very High
2024,November,Multiplexer,Netgear,348,407,High
2024,June,Card,Netgear,198,199,High
2024,March,Combiner,Cisco,274,324,High
2024,February,Card,Netgear,404,280,Low
2023,December,Card,HP,272,224,Medium
2024,May,Switch,Bell,203,140,Low
2024,January,Optical,Bell,175,131,Low
2023,January,Splitter,Bell,404,316,Medium
2023,August,Optical,Optifibre Co,119,136,High
2024,May,Switch,Synergy,331,463,Very High
2024,June,Multiplexer,Fibertech Inc,487,277,Low
2024,June,Switch,Cisco,141,358,Very High
2023,December,Router,HP,286,287,High
2024,August,Card,Cisco,218,458,Very High
2024,June,Combiner,Synergy,166,382,Very High
2024,December,Combiner,Bell,259,297,High
2024,June,Modem,Netgear,452,119,Very Low
2023,March,Multiplexer,Synergy,384,453,High
2023,July,Router,Fibertech Inc,369,224,Low
2024,May,Router,HP,389,150,Very Low
2024,March,Modem,Fibertech Inc,103,436,Very High
2023,May,Multiplexer,Cisco,162,225,Very High
2023,August,Modem,Synergy,312,278,Medium
2023,March,Splitter,Optifibre Co,129,449,Very High
2023,May,Router,HP,474,314,Low
2024,December,Switch,Bell,389,476,High
2023,March,Networking,Netgear,424,190,Very Low
2023,September,Card,Netgear,491,396,Medium
2023,September,Splitter,Cisco,495,407,Medium
2023,August,Card,Netgear,205,295,Very High
2024,June,Networking,Netgear,443,491,High
2023,August,Card,Fibertech Inc,153,480,Very High
2024,November,Card,Bell,112,138,High
2024,July,Modem,Broadcam,449,409,Medium
2023,January,Splitter,Optifibre Co,457,456,Medium
2024,January,Networking,Bell,386,189,Very Low
2023,February,Multiplexer,Cisco,237,176,Low
2023,December,Optical,Synergy,344,367,High
2024,September,Switch,Bell,131,241,Very High
2024,February,Combiner,Synergy,301,424,Very High
2023,February,Networking,Optifibre Co,326,356,High
2024,February,Optical,Fibertech Inc,175,497,Very High
2024,June,Multiplexer,HP,260,145,Low
2023,August,Modem,Cardcom,220,350,Very High
2023,October,Modem,Netgear,323,159,Very Low
2023,December,Multiplexer,Cardcom,442,297,Low
2023,November,Router,HP,464,499,High
2024,November,Optical,Optifibre Co,239,387,Very High
2024,April,Card,Broadcam,131,143,High
2024,April,Combiner,Cisco,481,322,Low
2024,June,Multiplexer,Cisco,251,354,Very High
2024,December,Splitter,Netgear,111,139,Very High
2024,June,Networking,Netgear,119,413,Very High
2023,July,Router,HP,465,397,Medium
2023,July,Modem,HP,435,474,High
2024,July,Optical,Cisco,411,314,Medium
2023,August,Splitter,Cisco,383,272,Low
2023,April,Multiplexer,Cisco,280,365,Very High
2024,September,Optical,Synergy,378,359,Medium
2024,June,Optical,Fibertech Inc,496,463,Medium
2024,October,Card,Fibertech Inc,122,297,Very High
2024,July,Splitter,Netgear,435,178,Very Low
2023,December,Splitter,Cisco,348,403,High
2023,December,Router,Broadcam,403,240,Low
2024,September,Optical,Fibertech Inc,464,249,Low
2023,November,Modem,HP,218,326,Very High
2024,July,Splitter,Cardcom,112,455,Very High
2024,August,Card,HP,245,239,Medium
2023,October,Modem,Fibertech Inc,110,137,High
2024,January,Combiner,Fibertech Inc,174,288,Very High
2023,January,Modem,HP,365,500,Very High
2023,July,Combiner,Cisco,239,151,Low
2024,February,Optical,Optifibre Co,140,411,Very High
2023,September,Multiplexer,Netgear,326,274,Medium
2024,December,Splitter,Fibertech Inc,256,454,Very High
2023,August,Networking,Fibertech Inc,331,183,Low
2024,May,Card,Optifibre Co,355,247,Low
2023,March,Splitter,HP,233,370,Very High
2023,March,Combiner,HP,318,417,Very High
2023,June,Networking,Optifibre Co,310,374,High
2024,December,Modem,HP,331,371,High
2024,March,Splitter,Cardcom,282,427,Very High
2023,June,Multiplexer,HP,437,243,Low
2023,November,Multiplexer,Bell,211,463,Very High
2024,May,Router,Netgear,500,483,Medium
2024,April,Card,Cisco,359,252,Low
2024,May,Multiplexer,Synergy,423,332,Medium
2024,July,Combiner,Fibertech Inc,380,360,Medium
2023,May,Switch,Fibertech Inc,306,408,Very High
2023,June,Splitter,Synergy,374,496,Very High
2024,October,Switch,Fibertech Inc,110,228,Very High
2024,August,Splitter,Optifibre Co,243,212,Medium
2023,November,Splitter,Broadcam,403,439,High
2024,February,Optical,Fibertech Inc,498,181,Very Low
2023,December,Switch,Optifibre Co,153,468,Very High
2024,November,Modem,Cardcom,160,444,Very High
2024,April,Optical,Cardcom,208,134,Low
2024,August,Splitter,Synergy,379,118,Very Low
2024,April,Modem,Cisco,348,376,High
2024,June,Switch,Cisco,243,330,Very High
2024,March,Combiner,Broadcam,251,172,Low
2023,December,Combiner,Broadcam,406,188,Very Low
2023,April,Combiner,Bell,275,376,Very High
2024,August,Card,HP,141,399,Very High
2023,September,Splitter,Broadcam,205,439,Very High
2023,March,Combiner,Fibertech Inc,432,100,Very Low
2023,January,Router,HP,244,475,Very High
2024,March,Splitter,Netgear,450,188,Very Low
2023,May,Combiner,Fibertech Inc,406,280,Low
2023,November,Switch,HP,438,186,Very Low
2024,August,Switch,Bell,334,264,Medium
2024,December,Splitter,Fibertech Inc,157,324,Very High
2024,August,Splitter,Cardcom,385,181,Very Low
2024,September,Card,Broadcam,466,248,Low
2024,January,Switch,Netgear,339,176,Low
2024,September,Splitter,HP,340,151,Very Low
2024,March,Card,HP,381,218,Low
2023,December,Networking,Broadcam,248,147,Low
2024,October,Multiplexer,Netgear,186,279,Very High
2023,October,Switch,HP,233,375,Very High
2024,November,Multiplexer,Synergy,422,160,Very Low
2023,July,Optical,Bell,111,463,Very High
2024,November,Networking,Fibertech Inc,210,156,Low
2023,October,Combiner,Optifibre Co,287,134,Very Low
2024,November,Modem,Cisco,349,453,Very High
2024,April,Combiner,HP,167,350,Very High
2023,December,Modem,Cardcom,330,102,Very Low
2023,April,Optical,Broadcam,171,279,Very High
2024,August,Card,Netgear,360,354,Medium
2023,June,Modem,Broadcam,108,485,Very High
2024,November,Router,Broadcam,274,281,High
2023,December,Multiplexer,Fibertech Inc,154,396,Very High
2023,October,Networking,Cardcom,210,486,Very High
2023,March,Optical,Synergy,182,419,Very High
2023,May,Networking,Synergy,434,107,Very Low
2023,October,Router,Broadcam,166,287,Very High
2023,October,Card,Broadcam,498,408,Medium
2024,September,Optical,Optifibre Co,176,226,Very High
2023,September,Combiner,Fibertech Inc,422,223,Low
2023,February,Combiner,Broadcam,256,303,High
2023,February,Router,Bell,407,465,High
2023,August,Multiplexer,Cardcom,403,111,Very Low
2023,March,Card,Synergy,129,232,Very High
2023,June,Optical,Cardcom,465,264,Low
2024,November,Router,HP,149,116,Medium
2024,February,Multiplexer,HP,228,452,Very High
2023,May,Networking,Cardcom,217,134,Low
2024,March,Combiner,Synergy,297,388,Very High
2024,August,Multiplexer,Bell,117,228,Very High
2024,October,Optical,Broadcam,451,364,Medium
2023,October,Splitter,Synergy,138,325,Very High
2023,July,Splitter,Optifibre Co,378,245,Low
2024,July,Multiplexer,Fibertech Inc,198,236,High
2023,July,Networking,Cisco,245,353,Very High
2024,May,Optical,Bell,408,155,Very Low
2023,January,Modem,Optifibre Co,451,202,Very Low
2023,January,Router,Cisco,281,365,Very High
2023,November,Multiplexer,Fibertech Inc,307,208,Low
2023,December,Optical,Cisco,387,431,High
2024,August,Optical,Fibertech Inc,466,338,Low
2023,December,Router,Synergy,424,392,Medium
2024,September,Router,Synergy,203,145,Low
2023,March,Combiner,Cardcom,337,202,Low
2023,October,Optical,Cardcom,216,144,Low
2024,February,Networking,Bell,260,464,Very High
2024,August,Router,Broadcam,178,334,Very High
2023,June,Combiner,Broadcam,467,230,Very Low
2024,February,Card,Netgear,491,469,Medium
2024,October,Switch,HP,395,359,Medium
2024,April,Switch,Fibertech Inc,236,439,Very High
2024,June,Networking,HP,167,358,Very High
2024,February,Card,Synergy,114,271,Very High
2024,July,Networking,Cardcom,438,112,Very Low
2023,June,Card,Netgear,259,253,Medium
2024,May,Modem,Synergy,305,444,Very High
2023,November,Multiplexer,Cisco,234,106,Very Low
2023,November,Splitter,Broadcam,134,198,Very High
2024,September,Networking,Optifibre Co,290,477,Very High
2024,March,Switch,Broadcam,263,173,Low
2024,February,Networking,Optifibre Co,223,466,Very High
2024,November,Splitter,Optifibre Co,122,455,Very High
2023,February,Splitter,HP,432,301,Low
2023,May,Networking,Netgear,376,107,Very Low
2023,July,Card,Cardcom,223,492,Very High
2024,September,Networking,Broadcam,317,173,Low
2023,September,Switch,Fibertech Inc,364,387,High
2024,March,Splitter,Bell,394,222,Low
2024,April,Card,Cardcom,265,194,Low
2023,July,Multiplexer,Cisco,191,437,Very High
2024,January,Modem,Cardcom,202,461,Very High
2024,July,Router,HP,133,272,Very High
2023,August,Modem,Synergy,412,453,High
2023,July,Optical,Bell,447,385,Medium
2024,May,Splitter,Bell,402,162,Very Low
2024,May,Switch,Netgear,374,388,High
2024,April,Multiplexer,Cisco,433,273,Low
2024,May,Optical,Cisco,142,242,Very High
2024,July,Switch,Netgear,276,379,Very High
2023,December,Optical,Netgear,213,250,High
2023,March,Router,Optifibre Co,344,182,Low
2024,November,Splitter,Broadcam,442,248,Low
2024,August,Router,Bell,233,205,Medium
2024,October,Multiplexer,Cardcom,135,491,Very High
2024,August,Router,Synergy,452,368,Medium
2024,April,Router,Cardcom,201,104,Low
2024,January,Router,Cardcom,327,199,Low
2024,January,Multiplexer,Cisco,327,371,High
2024,August,Optical,Synergy,411,309,Medium
2023,May,Switch,Broadcam,249,275,High
2023,November,Modem,Cisco,201,155,Medium
2024,November,Combiner,Cardcom,420,437,High
2023,October,Combiner,Broadcam,440,166,Very Low
2024,December,Combiner,Cardcom,148,326,Very High
2023,August,Combiner,Bell,216,495,Very High
2024,September,Networking,HP,342,211,Low
2023,February,Combiner,Broadcam,485,424,Medium
2023,March,Optical,Bell,164,349,Very High
2023,February,Card,Synergy,114,349,Very High
2024,August,Multiplexer,Bell,191,348,Very High
2023,August,Optical,Cardcom,233,426,Very High
2023,March,Optical,HP,480,170,Very Low
2023,April,Modem,Fibertech Inc,433,167,Very Low
2023,January,Switch,Cisco,430,472,High
2023,October,Splitter,Synergy,162,452,Very High
2023,April,Networking,HP,215,123,Low
2023,April,Modem,Bell,196,321,Very High
2024,November,Combiner,HP,113,407,Very High
2023,July,Optical,Netgear,135,151,High
2024,April,Optical,Synergy,246,132,Low
2023,October,Modem,Optifibre Co,481,183,Very Low
2023,July,Card,Synergy,367,282,Medium
2023,November,Splitter,Netgear,453,120,Very Low
2023,May,Switch,Fibertech Inc,197,446,Very High
2023,April,Router,Broadcam,463,449,Medium
2023,April,Router,Cardcom,395,316,Medium
2024,February,Splitter,Cardcom,258,135,Low
2023,November,Splitter,Synergy,400,145,Very Low
2023,April,Router,Netgear,432,230,Low
2023,July,Router,Netgear,268,381,Very High
2023,December,Router,Cardcom,500,270,Low
2023,October,Optical,Synergy,233,317,Very High
2023,October,Splitter,HP,309,141,Very Low
2024,November,Switch,Cisco,231,489,Very High
2023,March,Optical,HP,255,173,Low
2024,April,Card,Fibertech Inc,217,294,Very High
2024,December,Modem,Cisco,255,214,Medium
2024,August,Multiplexer,Optifibre Co,211,387,Very High
2023,March,Multiplexer,HP,446,334,Low
2023,March,Switch,HP,128,415,Very High
2024,January,Networking,Synergy,245,155,Low
2024,August,Optical,Bell,235,228,Medium
2023,April,Modem,Bell,391,255,Low
2023,February,Multiplexer,Cisco,366,358,Medium
2024,June,Card,Optifibre Co,397,104,Very Low
2024,August,Optical,Bell,404,372,Medium
2024,July,Card,Broadcam,411,403,Medium
2023,November,Splitter,Cardcom,206,271,Very High
2024,December,Networking,Synergy,244,117,Very Low
2024,February,Networking,Fibertech Inc,207,336,Very High
2024,February,Router,Bell,440,339,Medium
2023,August,Modem,Optifibre Co,263,343,Very High
2023,June,Combiner,Cisco,487,104,Very Low
2024,November,Modem,Fibertech Inc,171,348,Very High
2023,November,Router,Netgear,202,203,High
2024,May,Splitter,Bell,192,498,Very High
2023,October,Switch,Cardcom,330,251,Medium
2023,January,Card,Cisco,371,323,Medium
2024,April,Combiner,Optifibre Co,152,337,Very High
2023,February,Modem,Netgear,377,362,Medium
2023,December,Router,Synergy,363,297,Medium
2023,November,Optical,HP,487,359,Low
2024,November,Networking,Cardcom,373,401,High
2023,October,Optical,Fibertech Inc,491,310,Low
2024,April,Combiner,Optifibre Co,336,239,Low
2023,October,Multiplexer,Synergy,439,264,Low
2024,October,Splitter,Netgear,137,441,Very High
2024,September,Multiplexer,Synergy,363,347,Medium
2024,December,Optical,Fibertech Inc,181,184,High
2023,February,Multiplexer,HP,180,177,Medium
2024,September,Modem,Netgear,227,447,Very High
2024,February,Optical,Fibertech Inc,194,150,Medium
2023,September,Networking,Cardcom,247,148,Low
2024,September,Card,Bell,186,113,Low
2023,March,Switch,HP,326,493,Very High
2023,September,Splitter,Bell,480,263,Low
2023,February,Router,Cisco,449,386,Medium
2023,June,Card,Broadcam,499,121,Very Low
2023,September,Combiner,Netgear,482,304,Low
2023,March,Router,Cisco,139,284,Very High
2023,August,Modem,HP,468,442,Medium
2024,February,Router,Broadcam,372,484,Very High
2024,July,Multiplexer,HP,185,211,High
2024,October,Router,Cardcom,115,197,Very High
2023,December,Card,Optifibre Co,445,257,Low
2024,September,Modem,Netgear,313,482,Very High
2024,October,Modem,Cisco,484,284,Low
2024,June,Card,Bell,311,362,High
2024,March,Combiner,Optifibre Co,170,417,Very High
2024,February,Combiner,Broadcam,238,365,Very High
2023,May,Splitter,Netgear,278,349,Very High
2023,January,Modem,Fibertech Inc,197,225,High
2023,October,Modem,Optifibre Co,375,316,Medium
2023,April,Card,Cardcom,425,492,High
2023,November,Card,HP,376,324,Medium
2024,January,Switch,Fibertech Inc,399,224,Low
2024,September,Combiner,HP,384,245,Low
2024,October,Modem,Synergy,113,289,Very High
2023,May,Modem,Synergy,183,469,Very High
2023,June,Combiner,Broadcam,104,454,Very High
2024,July,Switch,Broadcam,343,208,Low
2023,July,Multiplexer,Cisco,458,499,High
2024,June,Networking,Synergy,339,142,Very Low
2023,October,Modem,Cisco,411,232,Low
2024,June,Networking,Cisco,320,484,Very High
2023,June,Switch,Synergy,496,164,Very Low
2023,August,Networking,Broadcam,500,404,Medium
2023,August,Networking,Broadcam,108,496,Very High
2024,December,Optical,Cardcom,398,206,Low
2024,April,Card,Fibertech Inc,188,309,Very High
2024,September,Combiner,Bell,404,455,High
2024,May,Multiplexer,Cisco,453,152,Very Low
2024,June,Networking,Cisco,402,236,Low
2023,October,Optical,Broadcam,131,121,Medium
2023,September,Card,Bell,107,406,Very High
2024,April,Modem,HP,410,174,Very Low
2024,January,Optical,Netgear,409,205,Low
2023,November,Splitter,HP,160,367,Very High
2023,September,Card,Netgear,125,347,Very High
2023,May,Combiner,Fibertech Inc,276,241,Medium
2023,May,Modem,Optifibre Co,136,208,Very High
2023,May,Modem,Bell,150,279,Very High
2024,June,Optical,HP,448,288,Low
2024,September,Combiner,Cisco,199,292,Very High
2023,June,Optical,Broadcam,384,190,Very Low
2023,May,Optical,Broadcam,361,325,Medium
2024,May,Combiner,Fibertech Inc,244,488,Very High
2024,October,Modem,Broadcam,132,102,Medium
2023,May,Modem,Broadcam,168,289,Very High
2024,March,Multiplexer,Cisco,443,293,Low
2023,September,Combiner,Netgear,296,293,Medium
2023,March,Splitter,Cisco,157,436,Very High
2024,January,Optical,Cisco,255,396,Very High
2024,August,Multiplexer,Optifibre Co,248,423,Very High
2023,January,Card,Synergy,359,500,Very High
2024,September,Switch,Broadcam,206,136,Low
2023,November,Card,Fibertech Inc,464,490,High
2024,June,Optical,Bell,229,191,Medium
2024,September,Multiplexer,Bell,378,483,Very High
2024,November,Combiner,Bell,134,315,Very High
2024,July,Splitter,Fibertech Inc,170,111,Low
2023,September,Optical,Optifibre Co,273,210,Medium
2024,October,Switch,Synergy,346,453,Very High
2024,May,Multiplexer,HP,480,430,Medium
2023,May,Multiplexer,Broadcam,104,461,Very High
2023,November,Optical,Optifibre Co,133,159,High
2023,March,Switch,Cardcom,330,494,Very High
2023,November,Switch,Cardcom,438,435,Medium
2023,May,Combiner,Cisco,366,191,Low
2024,January,Multiplexer,Bell,458,345,Medium
2023,August,Combiner,Bell,282,493,Very High
2024,June,Router,HP,479,154,Very Low
2024,October,Modem,Cisco,462,113,Very Low
2023,March,Card,Netgear,197,420,Very High
2024,January,Optical,Optifibre Co,309,274,Medium
2024,August,Splitter,Netgear,133,265,Very High
2023,September,Switch,Bell,237,176,Low
2023,March,Combiner,HP,263,223,Medium
2024,March,Combiner,Bell,130,127,Medium
2024,March,Switch,Fibertech Inc,413,128,Very Low
2024,May,Networking,Fibertech Inc,393,241,Low
2023,April,Multiplexer,Synergy,195,490,Very High
2023,January,Modem,Cardcom,366,329,Medium
2023,December,Combiner,Broadcam,180,139,Medium
2023,September,Card,Optifibre Co,163,150,Medium
2023,July,Networking,Bell,249,426,Very High
2023,March,Card,Bell,381,361,Medium
2023,November,Router,HP,186,223,High
2024,January,Switch,Bell,473,374,Medium
2023,September,Multiplexer,Cisco,399,366,Medium
2023,November,Networking,Broadcam,249,458,Very High
2024,October,Modem,HP,255,497,Very High
2023,December,Combiner,Netgear,295,253,Medium
2023,October,Router,HP,158,240,Very High
2023,October,Multiplexer,Bell,339,189,Low
2024,June,Multiplexer,Fibertech Inc,277,470,Very High
2023,February,Combiner,Synergy,351,272,Medium
2024,November,Optical,Synergy,466,168,Very Low
2023,December,Card,Fibertech Inc,103,159,Very High
2024,November,Splitter,Bell,400,336,Medium
2024,March,Optical,Broadcam,385,330,Medium
2024,October,Optical,Fibertech Inc,254,466,Very High
2023,November,Splitter,Synergy,158,453,Very High
2023,May,Modem,Cardcom,405,142,Very Low
2023,October,Multiplexer,Synergy,383,220,Low
2023,January,Combiner,Optifibre Co,157,326,Very High
2024,September,Optical,Bell,329,115,Very Low
2023,December,Multiplexer,Broadcam,191,367,Very High
2023,March,Modem,Fibertech Inc,443,203,Very Low
2023,January,Networking,Cardcom,137,491,Very High
2023,June,Optical,Synergy,440,223,Low
2024,May,Modem,Cisco,412,322,Medium
2024,March,Switch,Synergy,402,439,High
2023,January,Card,Synergy,409,443,High
2023,May,Switch,HP,104,366,Very High
2024,October,Card,Cardcom,485,365,Medium
2024,November,Combiner,HP,358,407,High
2023,November,Combiner,Fibertech Inc,112,255,Very High
2023,June,Card,Optifibre Co,272,268,Medium
2024,May,Switch,Synergy,234,141,Low
2023,May,Combiner,Cisco,467,436,Medium
2024,November,Networking,Cisco,405,145,Very Low
2023,September,Combiner,Synergy,208,360,Very High
2024,February,Optical,Cisco,116,397,Very High
2024,October,Switch,Cisco,167,135,Medium
2023,October,Router,HP,415,179,Very Low
2023,May,Optical,Optifibre Co,296,272,Medium
2024,March,Combiner,Synergy,411,423,High
2024,July,Switch,Synergy,467,479,High
2023,January,Switch,Bell,112,277,Very High
2023,June,Router,Cisco,233,201,Medium
2023,February,Multiplexer,Cisco,122,266,Very High
2024,July,Multiplexer,Broadcam,225,183,Medium
2024,July,Modem,Fibertech Inc,197,393,Very High
2023,February,Multiplexer,Bell,260,292,High
2024,March,Splitter,Synergy,304,200,Low
2024,January,Networking,Cisco,328,344,High
2024,May,Router,HP,467,422,Medium
2023,December,Card,Synergy,186,291,Very High
2023,May,Router,Netgear,217,285,Very High
2024,September,Modem,Cardcom,124,390,Very High
2024,August,Optical,Netgear,322,195,Low
2023,November,Combiner,HP,325,476,Very High
2024,August,Networking,Broadcam,194,206,High
2024,October,Optical,Optifibre Co,250,109,Very Low
2023,August,Router,Optifibre Co,303,455,Very High
2023,July,Router,Optifibre Co,241,384,Very High
2024,April,Splitter,Optifibre Co,354,262,Low
2024,May,Combiner,HP,207,220,High
2023,April,Networking,Broadcam,314,282,Medium
2023,June,Multiplexer,Bell,476,479,High
2023,March,Multiplexer,Netgear,101,123,High
2023,February,Router,Cardcom,201,295,Very High
2023,December,Router,Synergy,437,198,Very Low
2024,March,Modem,Cisco,408,432,High
2024,February,Card,Netgear,300,322,High
2023,December,Card,Broadcam,485,200,Very Low
2023,July,Card,Netgear,244,442,Very High
2023,January,Multiplexer,Optifibre Co,335,192,Low
2024,March,Optical,Broadcam,222,344,Very High
2023,June,Modem,Cisco,201,426,Very High
2024,July,Router,HP,281,353,Very High
2024,July,Card,Bell,274,150,Low
2023,November,Optical,Optifibre Co,346,133,Very Low
2023,November,Multiplexer,HP,154,172,High
2023,October,Networking,Synergy,306,135,Very Low
2024,February,Combiner,Bell,444,298,Low
2023,August,Splitter,Optifibre Co,212,302,Very High
2024,September,Switch,Netgear,370,329,Medium
2024,July,Splitter,Synergy,154,122,Medium
2023,October,Combiner,Bell,140,398,Very High
2023,November,Switch,Optifibre Co,114,121,High
2024,August,Splitter,HP,211,290,Very High
2024,January,Splitter,Netgear,339,469,Very High
2024,August,Networking,Cardcom,187,287,Very High
2023,January,Multiplexer,Cardcom,306,359,High
2023,October,Networking,Fibertech Inc,398,489,High
2024,February,Modem,Synergy,125,395,Very High
2023,December,Multiplexer,Fibertech Inc,232,263,High
2024,September,Switch,Cardcom,203,432,Very High
2024,August,Multiplexer,Fibertech Inc,239,137,Low
2023,September,Splitter,Bell,426,111,Very Low
2024,November,Splitter,HP,433,340,Medium
2023,April,Optical,Bell,407,230,Low
2024,April,Card,Synergy,376,380,High
2024,November,Multiplexer,Cardcom,454,272,Low
2024,December,Router,Bell,340,230,Low
2023,November,Modem,Synergy,217,454,Very High
2023,April,Switch,Fibertech Inc,122,495,Very High
2024,July,Networking,Netgear,378,198,Low
2023,October,Switch,Cardcom,316,243,Medium
2024,March,Switch,HP,499,259,Low
2024,August,Router,Synergy,289,374,Very High
2023,October,Splitter,Synergy,299,165,Low
2023,June,Networking,Fibertech Inc,429,253,Low
2024,December,Multiplexer,Bell,318,379,High
2023,October,Card,Cisco,279,335,High
2023,January,Card,Broadcam,242,298,High
2024,March,Modem,Fibertech Inc,234,142,Low
2024,November,Card,Bell,138,207,Very High
2023,April,Splitter,Cardcom,114,205,Very High
2024,December,Multiplexer,Broadcam,246,165,Low
2024,August,Networking,Bell,243,175,Low
2024,September,Splitter,HP,479,283,Low
2023,June,Modem,Netgear,349,333,Medium
2023,July,Router,Broadcam,117,336,Very High
2023,May,Multiplexer,Netgear,426,401,Medium
2023,October,Switch,Bell,397,213,Low
2024,May,Combiner,Bell,253,244,Medium
2024,November,Networking,Fibertech Inc,284,108,Very Low
2023,March,Multiplexer,Synergy,324,413,Very High
2023,December,Optical,HP,259,416,Very High
2024,November,Card,Fibertech Inc,186,422,Very High
2023,April,Router,Broadcam,324,475,Very High
2023,August,Optical,Bell,134,422,Very High
2023,March,Card,Cisco,118,104,Medium
2023,March,Optical,Netgear,424,290,Low
2024,August,Splitter,HP,111,178,Very High
2024,December,Combiner,Optifibre Co,409,148,Very Low
2024,January,Networking,Netgear,252,229,Medium
2024,June,Optical,HP,353,382,High
2023,February,Switch,HP,144,263,Very High
2023,January,Networking,Broadcam,418,344,Medium
2023,August,Router,Netgear,278,365,Very High
2023,June,Optical,Broadcam,221,345,Very High
2023,July,Networking,Bell,118,246,Very High
2023,November,Card,Optifibre Co,309,336,High
2023,January,Router,Cisco,491,140,Very Low
2024,May,Combiner,Synergy,468,159,Very Low
2023,September,Multiplexer,Cardcom,157,490,Very High
2024,August,Multiplexer,Broadcam,310,439,Very High
2024,June,Router,HP,366,134,Very Low
2023,August,Networking,Fibertech Inc,462,144,Very Low
2024,September,Splitter,Fibertech Inc,482,316,Low
2023,October,Optical,Cisco,467,371,Medium
2024,April,Multiplexer,HP,404,301,Low
2023,November,Multiplexer,HP,365,280,Medium
2024,August,Combiner,HP,416,176,Very Low
